2018-07-30 20:08:02,914 | INFO | FileEndpoint.java 108 | Using default memory based idempotent repository with cache max size: 1000
2018-07-30 20:08:02,937 | INFO | DefaultCamelContext.java 4030 | Route: route1 started and consuming from: file://data/input?noop=true
2018-07-30 20:08:02,937 | INFO | DefaultCamelContext.java 3191 | Total 1 routes, of which 1 are started
2018-07-30 20:08:02,941 | INFO | DefaultCamelContext.java 3202 | Apache Camel 2.22.0 (CamelContext: camel-1) started in 0.287 seconds
2018-07-30 20:08:03,966 | INFO | CamelLogger.java 159 | Exchange[ExchangePattern: InOnly, Headers: {breadcrumbId=ID-HDrina-1532974082334-0-1, CamelFileAbsolute=false, CamelFileAbsolutePath=C:\Users\haris.drina\IdeaProjects\learncamelsimplefile\data\input\file.txt, CamelFileLastModified=1532689035080, CamelFileLength=2, CamelFileName=file.txt, CamelFileNameConsumed=file.txt, CamelFileNameOnly=file.txt, CamelFileParent=data\input, CamelFilePath=data\input\file.txt, CamelFileRelativePath=file.txt}, BodyType: org.apache.camel.component.file.GenericFile, Body: [Body is file based: GenericFile[file.txt]]]
2018-07-30 20:08:03,985 | INFO | CamelLogger.java 159 | Exchange[ExchangePattern: InOnly, Headers: {breadcrumbId=ID-HDrina-1532974082334-0-2, CamelFileAbsolute=false, CamelFileAbsolutePath=C:\Users\haris.drina\IdeaProjects\learncamelsimplefile\data\input\file2.txt, CamelFileLastModified=1532689035094, CamelFileLength=5, CamelFileName=file2.txt, CamelFileNameConsumed=file2.txt, CamelFileNameOnly=file2.txt, CamelFileParent=data\input, CamelFilePath=data\input\file2.txt, CamelFileRelativePath=file2.txt}, BodyType: org.apache.camel.component.file.GenericFile, Body: [Body is file based: GenericFile[file2.txt]]]
2018-07-30 20:08:07,945 | INFO | CamelTestSupport.java 421 | ********************************************************************************
2018-07-30 20:08:07,946 | INFO | CamelTestSupport.java 422 | Testing done: checkFileExistsInOutputDirectory(com.learncamel.file.CopyFilesRouteTest)
2018-07-30 20:08:07,952 | INFO | CamelTestSupport.java 423 | Took: 5.002 seconds (5002 millis)
2018-07-30 20:08:07,953 | INFO | CamelTestSupport.java 452 | ********************************************************************************
2018-07-30 20:08:07,956 | INFO | DefaultCamelContext.java 3501 | Apache Camel 2.22.0 (CamelContext: camel-1) is shutting down
2018-07-30 20:08:07,960 | INFO | DefaultShutdownStrategy.java 195 | Starting to graceful shutdown 1 routes (timeout 10 seconds)
2018-07-30 20:08:07,967 | INFO | DefaultShutdownStrategy.java 671 | Route: route1 shutdown complete, was consuming from: file://data/input?noop=true
2018-07-30 20:08:07,969 | INFO | DefaultShutdownStrategy.java 260 | Graceful shutdown of 1 routes completed in 0 seconds
2018-07-30 20:08:07,984 | INFO | DefaultCamelContext.java 3592 | Apache Camel 2.22.0 (CamelContext: camel-1) uptime 5.333 seconds
2018-07-30 20:08:07,984 | INFO | DefaultCamelContext.java 3593 | Apache Camel 2.22.0 (CamelContext: camel-1) is shutdown in 0.028 seconds
2018-07-30 20:09:48,973 | INFO | CamelTestSupport.java 251 | ********************************************************************************
2018-07-30 20:09:48,977 | INFO | CamelTestSupport.java 252 | Testing: checkFileExistsInOutputDirectory(com.learncamel.file.CopyFilesRouteTest)
2018-07-30 20:09:48,977 | INFO | CamelTestSupport.java 253 | ********************************************************************************
2018-07-30 20:09:49,340 | INFO | DefaultCamelContext.java 3143 | Apache Camel 2.22.0 (CamelContext: camel-1) is starting
2018-07-30 20:09:49,342 | INFO | DefaultManagementStrategy.java 232 | JMX is disabled
2018-07-30 20:09:49,404 | INFO | DefaultTypeConverter.java 66 | Type converters loaded (core: 195, classpath: 0)
2018-07-30 20:09:49,575 | INFO | DefaultCamelContext.java 3470 | StreamCaching is not in use. If using streams then its recommended to enable stream caching. See more details at http://camel.apache.org/stream-caching.html
2018-07-30 20:09:49,600 | INFO | FileEndpoint.java 102 | Endpoint is configured with noop=true so forcing endpoint to be idempotent as well
2018-07-30 20:09:49,600 | INFO | FileEndpoint.java 108 | Using default memory based idempotent repository with cache max size: 1000
2018-07-30 20:09:49,628 | INFO | DefaultCamelContext.java 4030 | Route: route1 started and consuming from: file://data/input?noop=true
2018-07-30 20:09:49,629 | INFO | DefaultCamelContext.java 3191 | Total 1 routes, of which 1 are started
2018-07-30 20:09:49,632 | INFO | DefaultCamelContext.java 3202 | Apache Camel 2.22.0 (CamelContext: camel-1) started in 0.290 seconds
2018-07-30 20:09:50,659 | INFO | CamelLogger.java 159 | Exchange[ExchangePattern: InOnly, Headers: {breadcrumbId=ID-HDrina-1532974189050-0-1, CamelFileAbsolute=false, CamelFileAbsolutePath=C:\Users\haris.drina\IdeaProjects\learncamelsimplefile\data\input\file.txt, CamelFileLastModified=1532689035080, CamelFileLength=2, CamelFileName=file.txt, CamelFileNameConsumed=file.txt, CamelFileNameOnly=file.txt, CamelFileParent=data\input, CamelFilePath=data\input\file.txt, CamelFileRelativePath=file.txt}, BodyType: org.apache.camel.component.file.GenericFile, Body: [Body is file based: GenericFile[file.txt]]]
2018-07-30 20:09:50,677 | INFO | CamelLogger.java 159 | Exchange[ExchangePattern: InOnly, Headers: {breadcrumbId=ID-HDrina-1532974189050-0-2, CamelFileAbsolute=false, CamelFileAbsolutePath=C:\Users\haris.drina\IdeaProjects\learncamelsimplefile\data\input\file2.txt, CamelFileLastModified=1532689035094, CamelFileLength=5, CamelFileName=file2.txt, CamelFileNameConsumed=file2.txt, CamelFileNameOnly=file2.txt, CamelFileParent=data\input, CamelFilePath=data\input\file2.txt, CamelFileRelativePath=file2.txt}, BodyType: org.apache.camel.component.file.GenericFile, Body: [Body is file based: GenericFile[file2.txt]]]
2018-07-30 20:09:54,634 | INFO | CamelTestSupport.java 421 | ********************************************************************************
2018-07-30 20:09:54,635 | INFO | CamelTestSupport.java 422 | Testing done: checkFileExistsInOutputDirectory(com.learncamel.file.CopyFilesRouteTest)
2018-07-30 20:09:54,636 | INFO | CamelTestSupport.java 423 | Took: 5.000 seconds (5000 millis)
2018-07-30 20:09:54,636 | INFO | CamelTestSupport.java 452 | ********************************************************************************
2018-07-30 20:09:54,637 | INFO | DefaultCamelContext.java 3501 | Apache Camel 2.22.0 (CamelContext: camel-1) is shutting down
2018-07-30 20:09:54,637 | INFO | DefaultShutdownStrategy.java 195 | Starting to graceful shutdown 1 routes (timeout 10 seconds)
2018-07-30 20:09:54,641 | INFO | DefaultShutdownStrategy.java 671 | Route: route1 shutdown complete, was consuming from: file://data/input?noop=true
2018-07-30 20:09:54,642 | INFO | DefaultShutdownStrategy.java 260 | Graceful shutdown of 1 routes completed in 0 seconds
2018-07-30 20:09:54,658 | INFO | DefaultCamelContext.java 3592 | Apache Camel 2.22.0 (CamelContext: camel-1) uptime 5.319 seconds
2018-07-30 20:09:54,658 | INFO | DefaultCamelContext.java 3593 | Apache Camel 2.22.0 (CamelContext: camel-1) is shutdown in 0.021 seconds
